freq,unit,geo\TIME_PERIOD	1990 	1991 	1992 	1993 	1994 	1995 	1996 	1997 	1998 	1999 	2000 	2001 	2002 	2003 	2004 	2005 	2006 	2007 	2008 	2009 	2010 	2011 	2012 	2013 	2014 	2015 	2016 	2017 	2018 	2019 	2020 	2021 	2022 
A,RT,BG4	14.7 	15.3 	15.8 	15.1 	14.0 	13.4 	13.8 	14.6 	13.1 	13.4 	11.4 	10.9 	11.4 	10.1 	8.9 	9.0 	8.1 	7.2 	7.5 	7.3 	6.7 	7.6 	6.0 	6.7 	6.9 	5.3 	5.5 	4.8 	5.0 	4.5 	4.1 	3.8 	3.4 
A,RT,BG41	13.7 	14.6 	14.7 	14.1 	13.8 	13.3 	13.0 	11.9 	12.4 	11.2 	8.7 	8.9 	9.8 	8.2 	7.4 	6.2 	6.2 	5.7 	6.4 	5.9 	5.2 	5.5 	4.4 	5.5 	6.0 	3.6 	4.4 	3.4 	3.6 	3.2 	2.9 	3.1 	2.4 
A,RT,BG42	15.8 	16.0 	17.1 	16.1 	14.3 	13.5 	14.8 	18.0 	13.9 	16.1 	14.7 	13.3 	13.4 	12.7 	11.0 	12.9 	10.7 	9.4 	9.2 	9.3 	8.8 	10.6 	8.4 	8.5 	8.3 	7.9 	7.2 	7.0 	7.1 	6.5 	6.0 	5.1 	4.9 
A,RT,CH	6.8 	6.2 	6.4 	5.6 	5.1 	5.0 	4.7 	4.8 	4.8 	4.6 	4.9 	4.9 	4.5 	4.3 	4.2 	4.2 	4.4 	3.9 	4.0 	4.3 	3.8 	3.8 	3.6 	3.9 	3.9 	3.9 	3.6 	3.5 	3.3 	3.3 	3.6 	3.1 	3.8 
A,RT,CH0	6.8 	6.2 	6.4 	5.6 	5.1 	5.0 	4.7 	4.8 	4.8 	4.6 	4.9 	4.9 	4.5 	4.3 	4.2 	4.2 	4.4 	3.9 	4.0 	4.3 	3.8 	3.8 	3.6 	3.9 	3.9 	3.9 	3.6 	3.5 	3.3 	3.3 	3.6 	3.1 	3.8 
A,RT,CH01	7.1 	6.6 	6.9 	5.9 	5.1 	4.8 	5.2 	4.2 	4.1 	3.9 	4.1 	4.0 	4.4 	3.3 	3.7 	3.4 	3.4 	3.0 	3.8 	4.6 	3.8 	2.8 	2.8 	3.6 	3.1 	4.2 	3.9 	3.3 	2.4 	2.6 	3.6 	2.6 	2.4 
A,RT,CH02	6.6 	5.6 	5.8 	5.3 	5.6 	5.2 	4.4 	4.9 	5.5 	5.7 	5.7 	5.3 	4.8 	4.5 	4.6 	3.7 	5.4 	3.7 	4.6 	4.3 	3.1 	4.0 	3.6 	3.7 	3.1 	3.9 	3.5 	3.8 	3.4 	3.3 	2.8 	2.9 	4.1 
A,RT,CH03	7.4 	6.4 	6.2 	5.4 	5.1 	4.6 	5.1 	4.0 	4.4 	5.2 	4.7 	5.5 	3.5 	4.4 	4.1 	3.9 	3.6 	3.7 	3.4 	4.7 	4.7 	4.9 	3.8 	5.0 	4.6 	4.3 	3.6 	3.3 	3.6 	3.9 	3.3 	3.6 	3.2 
A,RT,CH04	7.4 	6.2 	6.7 	5.5 	4.6 	6.2 	4.7 	5.3 	4.9 	4.0 	5.1 	5.8 	5.1 	5.6 	4.6 	5.6 	5.8 	5.3 	5.1 	4.7 	4.4 	4.2 	4.6 	4.5 	5.0 	3.3 	3.2 	4.1 	3.9 	3.4 	3.8 	4.2 	4.8 
A,RT,CH05	5.8 	5.6 	7.1 	5.5 	5.2 	4.7 	4.0 	5.6 	5.4 	4.4 	5.2 	4.5 	5.1 	4.5 	4.5 	4.2 	3.4 	4.5 	3.8 	3.7 	3.4 	3.6 	3.7 	3.8 	4.0 	4.4 	3.7 	3.8 	3.4 	3.3 	5.3 	3.3 	4.6 
